brand,ch_pillar,sub_category,founders,funding_status,independent_check,revenue_fy_inr_cr,pat_or_margin,online_presence,fit_verdict,confidence,sources,legal_entity,notes
Jaipur Fabric,Soft Furnishings,Bedsheets/comforters/dohars/quilts,Jayant Maheshwari; Chhavi Heda (2012),Bootstrapped (no rounds - Tracxn),Independent,"~6.6 (FY23, Tracxn)",unknown,Own Shopify + Amazon + Flipkart + Vaaree + UAE site,Strong,Med-High,https://www.jaipurfabric.com/pages/about-us | https://tracxn.com/d/companies/jaipur-fabric,JaipurFabric (Rajasthan),Core dohar/bedsheet fit; verify PAT via MCA
Urban Space,Soft Furnishings,Bed linen/dohars/bed covers (+curtains/rugs),Rohit Agarwal; Radhika Koolwal (2018),"Bootstrapped & profitable (Shark Tank S3, took no deal)",Independent,"unknown (stated profitable, 100%+ 5yr growth)",unknown,Large own D2C (urbanspacestore.in),Strong,Med,https://startuptalky.com/urban-space-success-story/ | https://financemythos.com/urban-space-rohit-radika-shark-tank-investment/,Urban Space Home Furnishing (Ahmedabad),Assortment broader than bedding
Amouve,Soft Furnishings,Organic-cotton bedding (sheets/comforters/quilts),Ami Sata; Saurabh Sata (2017),Likely bootstrapped (no VC/PE found),Independent,unknown (~20% YoY cited),unknown,Own site + marketplaces,Medium-Strong,Med,https://prakati.in/changemakers/amouve-organic-cotton-bed-sheets-bath-towels/ | https://www.tofler.in/amouve-bedding-private-limited/company/U17214KA2016PTC085750,Amouve Bedding Pvt Ltd (CIN U17214KA2016PTC085750),GOTS premium niche; confirm scale
Houmn,Soft Furnishings,Premium designer bedding (+cushions/table linen),Rishabh Jain (2020/inc 2022),Bootstrapped (no rounds - Tracxn),Independent,unknown,unknown,"Own site + Tata CLiQ Luxury, Pernia's, Myntra",Medium,Low-Med,https://houmn.com/pages/about-us | https://www.thecompanycheck.com/company/houmn-furnishing-private-limited/U52394RJ2022PTC082176,Houmn Furnishing Pvt Ltd (CIN U52394RJ2022PTC082176),Young; profitability unproven
Teertha India,Soft Furnishings,Premium handmade home linen + quilted,Interior designer founder (name unconfirmed),Presumed bootstrapped (unconfirmed),Appears independent,unknown,unknown,Own D2C; boutique scale,Medium-Weak,Low,https://teerthaindia.com/pages/about-us,Teertha India (Gurugram),Founder/financials unverified; likely small
Rugs and Beyond,Soft Furnishings,Handmade rugs/carpets/dhurries (D2C),Sakshi Talwar,Bootstrapped (no rounds - Crunchbase/YourStory),Independent,conflicting/unverified (~2.17 FY22 cited),unknown,"Own D2C site, worldwide shipping",Strong,Med (financials Low),https://crunchbase.com/organization/rugs-and-beyond | https://yourstory.com/companies/rugs-and-beyond,Rugs and Beyond Pvt Ltd,Cleanest bootstrapped pure-play rug brand; verify PAT
The Indian Rug,Soft Furnishings,Bespoke handcrafted rugs/carpets,"Sheli Lunawat; Rishita (siblings, Surat)",No external funding found (bootstrapped plausible),Appears independent (check export entity),unknown,unknown,"Own site + designer collabs, premium",Strong,Med (financials Low),https://theindianrug.com/about | https://linkedin.com/company/the-indian-rug,unconfirmed (Surat),Started as export firm; diligence on assoc. entity
Borderline Play,Soft Furnishings,Rugs (+furniture/cushions/table linen),Anica Kochhar; Priyanka Singh (2018),No funding found; LLP (bootstrapped likely),Independent founder-owned LLP,unknown,unknown,Own site; design-press featured; niche,Medium,Med,https://zaubacorp.com/BORDERLINE-STUDIO-LLP-AAM-2082 | https://borderlineplay.in/pages/our-story,Borderline Studio LLP (AAM-2082),"Multi-category, likely sub-scale"
GharGhar,Soft Furnishings,Eco-friendly jute rugs/floor coverings,Unknown (red flag for founder filter),No funding records; bootstrapped plausible,Appears independent/small,unknown,unknown,Jaipur online + Instagram; small,Weak,Low,https://lbb.in/delhi/gharghar-home-decor-shop-online/,unknown,Founder identity + scale unverified
The Purple Turtles (+Oorjaa),Decor & Home Improvement,Decorative/designer lighting,Radeesh Shetty; Gaurav Rai; Jenny Pinto (Oorjaa),Bootstrapped (Tracxn),Independent,"~26.7 (FY25, Tracxn)",unknown (PAT unverified),D2C site + Bengaluru stores,Strong,Med-High,https://tracxn.com/d/companies/thepurpleturtles | https://yourstory.com/2017/01/the-purple-turtles,Purple Turtles Lighting Ideas Pvt Ltd (CIN U74999KA2012PTC065951),Oorjaa in same entity; confirm PAT
Hatsu,Decor & Home Improvement,Minimalist decorative lighting (+furniture/carpets),Saumil Suchak; Yashvi Suchak (2019),No funding found (bootstrapped),Independent LLP,unknown,unknown,Strong D2C hatsu.in + Mumbai showroom,Strong,Med,https://www.hatsu.in/pages/about-hatsu | https://www.thecompanycheck.com/company/hatsu-india-llp/AAQ-8275,Hatsu India LLP (AAQ-8275),NOT Hatsu Labs (gaming). Verify scale
Klove Studio,Decor & Home Improvement,Luxury bespoke handblown-glass lighting,Prateek Jain; Gautam Seth,No external funding found,Independent,unknown,unknown,klovestudio.com; intl retail,Medium,Low-Med,https://thedesignsoc.com/designer-profile-prateek-jain-gautam-seth-co-founders-klove-studio/,unconfirmed (New Delhi),Bespoke/B2B model - weaker D2C roll-up fit
Gharko,Decor & Home Improvement,D2C decorative lighting (lamps),Sanni Sahil; Anjali,No funding found,Independent,unknown,unknown,gharko.in (Shopify) + Instagram,Weak,Low,https://gharko.in/pages/about,unconfirmed (Pune),Early-stage; entity unconfirmed
Fos Lighting,Decor & Home Improvement,Decorative lighting (chandeliers/pendants),Family-run (Rohatgi; since 1950),No external funding found (family-owned),Independent family firm,unknown,unknown,foslighting.in + Amazon/IndiaMART,Medium,Low-Med,https://www.foslighting.in/about-us,Fos Designs & Services Pvt Ltd,Confirm founder-led vs legacy mgmt
The Yard House,Soft Furnishings,Table linen (tablecloths/placemats/runners),Indira Prashant (+mother),"Bootstrapped, profitable from day 1",Independent,~3,Profitable (stated),Own site 65% + Amazon 35%,Strong,High,https://thebetterindia.com/406590/ | https://theyardhouse.in/pages/about-us,unconfirmed,Exact pure-play fit; small scale ~3cr
Solino Home,Soft Furnishings,Table + kitchen linen (linen specialist),Budhia family - Manoj/Kanishk/Sonam (2018),Bootstrapped (100% promoter holding 2021),Independent family business,"~102 (FY24, Tracxn)",EBITDA +75.7% YoY (PAT unknown),solinohome.com + Amazon + exports,Strong,Med-High,https://tracxn.com/d/legal-entities/india/solino-home-private-limited/ | https://solinohome.com/pages/about,Solino Home Pvt Ltd (CIN U17290MH2018PTC316902),Scale ~100cr+; export/B2B mix
FA Home,Soft Furnishings,Table+kitchen linen (+bedding/drapes/cushions),Chandrika Thatai (est. 2000),Unfunded (Tracxn),Independent,~290 (turnover),unknown (disciplined),shopfahome.com + experience centre,Medium,Med,https://yourstory.com/smbstory/house-maker-turned-entrepreneur-launched-290crore-textile-brand,FA Home and Apparel Retail Pvt Ltd,Large export/B2B manufacturer; brand is newer slice
Pinklay,Soft Furnishings,Table+kitchen linen (+decor/apparel),Daisy Tanwani (2015/16),Bootstrapped/unfunded (Inc42/Tracxn),Independent,"~15.6 (FY24, Tracxn)",unknown,pinklay.com + Pepperfry,Medium,Med,https://inc42.com/company/pinklay/ | https://pinklay.com/pages/about-us,Pinklay Retail Pvt Ltd,Linen is one line among apparel+decor
Supro Products,Kitchen,SS kitchen trolleys/racks + plastic houseware,Vidya Tada; Dharaben Bhanderi (CEO Jay Lunagariya?),Bootstrapped (no funding records),Independent Rajkot SME,"unknown (entity new, no filings)",unknown,B2B/wholesale (IndiaMART) - weak D2C,Weak,Med,https://www.falconebiz.com/company/SUPRO-PRODUCTS-INDIA-PRIVATE-LIMITED-U22202GJ2024PTC150172,Supro Products India Pvt Ltd (CIN U22202GJ2024PTC150172),B2B-oriented; entity new (Apr 2024); director/CEO discrepancy
Handicrafts Town,Decor & Home Improvement,Metal wall art/mirror frames/clocks,"Asim Zameer (proprietor, Moradabad)",No funding found (self-funded),Independent proprietorship,unknown (proprietorship),unknown,D2C + Pepperfry/Instagram,Strong,Med,https://handicraftstown.com/pages/brand-story,Decorativs (prop.),Owns manufacturing; financials opaque
Life n Colors,Decor & Home Improvement,Art wallpapers/murals + wall art,Apourva Sharma; Ashutosh Pandey (2013),Bootstrapped (Crunchbase/Tracxn),Independent,~3.81 (FY23); ~9 (FY24 self-rep),"Profitable: NPM ~4.17%, RoE ~10% (Tofler FY24)","D2C lifencolors.in, 28+ countries",Strong,High,https://www.tofler.in/life-n-colors-private-limited/company/U93000HR2013PTC048688,Life N Colors Pvt Ltd (CIN U93000HR2013PTC048688),Verified profitable; skews wallpaper
Hansart,Decor & Home Improvement,Metal wall art + wall clocks,"Founder-run (name undisclosed, Jodhpur)",No funding found (bootstrapped),Independent,unknown,unknown,D2C hansart.in + IndiaMART,Medium,Low-Med,https://hansart.in/pages/about-us,Hans Art (prop.),Young (2022); founder/financials unverified
Amar Canvas,Decor & Home Improvement,Paintings/canvas art marketplace,Rahul Basak; Amit Kumar Mahishya Das (2018),Bootstrapped (~Rs3L launch),Independent,unknown,unknown,Online artist marketplace,Weak,Low,https://yourstory.com/2019/11/kolkata-startup-amar-canvas-artists-art-economy,unconfirmed (Kolkata),"Thin-margin marketplace, not product brand"
Geek Technology,Small Appliances,Smart pressure cookers/air-fryers/fans,Murugan Dhandapani; Prathap Anandaraj (2019),Bootstrapped to ~35cr; small Rs4Cr TV-show round (2025),Independent (Coimbatore),~35 (FY23),Claimed profitable (unverified),"D2C + Amazon/Flipkart, 4.3L+ units",Medium-Strong,Med,https://entrackr.com/2023/10/geek-technology-look-to-bring-in-new-age-technology-to-the-indian-home-appliances-industry/,Geek Technology India,Minor funding flag; verify PAT
Candes,Small Appliances,Induction/OTG/mixer/kettle/fans,Sandeep & Vipin Aggarwal,"FUNDED ~$3M (2021, family offices)",Independent,unknown (targeting 200cr+),unknown,D2C + marketplaces,Weak,Med,https://inc42.com/buzz/d2c-brand-candes-raises-3-mn-from-delhi-based-family-offices/,Candes Technology Pvt Ltd,Fails bootstrapped filter unless relaxed
Thoppia,Soft Furnishings,Made-to-measure curtains/drapes + linen,Parikshit Thoppian (Kannur weaving family),Bootstrapped/unfunded (Tracxn),Independent family weaving biz,unknown,unknown,"D2C + Bangalore store, premium",Strong,Med,https://tracxn.com/d/companies/thoppia | https://thoppia.com/company,unconfirmed (Bengaluru),Genuine curtains focus; verify financials
Junekeri,Soft Furnishings,Handwoven cushions/covers + throws,Sudha Gurung; Ayessha Gurung Sukumar (2020),Bootstrapped (founders' savings - YourStory),Independent LLP,~18 GMV run-rate (PAT unknown),unknown,D2C + Instagram-led,Strong,Med,https://zaubacorp.com/JUNEKERI-HOMES-LLP-AAV-4497 | https://junekerihomes.com/pages/about-us,Junekeri Homes LLP (AAV-4497),GMV != revenue; modest scale
Coral Slub,Soft Furnishings,Cushions/covers + runners + throws,Garima Agarwal (NIFT),Bootstrapped (Crunchbase: no rounds),Independent,unknown,unknown,coralslub.com + Amazon,Medium,Med,https://crunchbase.com/organization/coral-slub,unconfirmed (Gurugram),Early-stage; financials unverified
IKIRU,Decor & Home Improvement,Curated home decor/storage marketplace,Alishha Chouhan (2021),Bootstrapped/unfunded (YourStory/Tracxn),Independent,unknown,unknown,D2C ikiru.in,Medium,Med,https://yourstory.com/companies/ikiru,IKIRU (Indore),"Marketplace model, not manufacturer"
Everyday Kitchen Storage,Kitchen,Modular kitchen storage/organizers,Nirbhaay Lunagaria (est. 2000),No funding found (family/bootstrapped),Independent family-run,unknown,unknown,B2B/OEM + IndiaMART,Medium,Med,https://www.everydaykitchenstorage.in/profile.html,Maruti Interior Products Pvt Ltd,Manufacturing asset; weak D2C
DecorTwist,Decor & Home Improvement,Storage boxes/baskets + decor,Anupam Rajey; Nidhi Bajpai (2022),FUNDED ~$450K (angel),Independent,~12.5,unknown,Amazon-led + own site,Weak,Med,https://entrackr.com/snippets/d2c-home-decor-brand-decortwist-raises-200k-10533888,DecorTwist Pvt Ltd,Fails bootstrapped filter
Bonita,Decor & Home Improvement,Home utility/organization storage,Umang Srivastava; Neeraj Mittal (2010),FUNDED (El Capital + angels),Independent,~3.77 (FY22 entity),unknown,bonitaindia.com + 25 export mkts,Weak,Med-High,https://yourstory.com/2014/07/bonita-ware-market,Casa Brands India Pvt Ltd (CIN U74140DL2010PTC210599),"Funded, not bootstrapped"
FIG Living,Decor & Home Improvement,Decorative lighting/lamps,Sushant Sharma; Varun Sharma,Bootstrapped (StartupTalky),Independent (brand-arm of Inmark Exports),~8 ARR Yr1,unknown (vertically integrated),figliving.com + Amazon top-seller,Strong,Med-High,https://startuptalky.com/news/bootstrapped-and-design-first-how-fig-living-reached-8-cr-arr-in-year-one/,Inmark Exports Pvt Ltd,Young but fast; pure decorative lighting
Tara Candles,Decor & Home Improvement,Home fragrance / scented candles,Umesh Singh,Bootstrapped (Tracxn),Independent,~43.6 (FY22),unknown (~65% corp candle share),D2C since 2021; mostly B2B/hotels,Strong,Med-High,https://smefutures.com/from-indian-roots-to-global-heights-tara-candles-journey-of-brilliance/,Tara Global,B2B-heavy; brand secondary
Mirrorwalla,Decor & Home Improvement,Decorative mirrors (pure-play),Narender Rana,Bootstrapped (Tracxn),Independent specialist,unknown,unknown,mirrorwalla.com + stores + Instagram,Strong,Med,https://tracxn.com/d/companies/mirrorwalla,unconfirmed,Rare bootstrapped pure-play mirrors
Niana,Decor & Home Improvement,Luxury home fragrance (candles/diffusers),Leena Labroo; Nisheeta Labroo (2011),Bootstrapped (Tracxn),Independent partnership,unknown,unknown,niana.co + IndiaMART; B2B+D2C,Strong,Med,https://niana.co/pages/about-us | https://tracxn.com/d/companies/niana,"Niana (partnership, GSTIN 07AAMFN7812K1ZU)",Heritage premium fragrance house
LuxeArtisanship,Decor & Home Improvement,Brass showpieces/idols/pooja decor,Chander Goyal; Nanesh Goyal (2024),Bootstrapped (India Retailing),Independent (owns factory),~1.2 gross Yr1,60% repeat (PAT thin),luxeartisanship.com + Etsy + Amazon,Medium-Strong,Med,https://indiaretailing.com/2025/08/14/luxeartisanship-revenue-offline-expansion/,unconfirmed (Delhi),Very young; limited PAT track
The Advitya,Decor & Home Improvement,Brass pooja decor/idols/wall hangings,Ishan Kailani; Nivedita Sahni (2019),Likely bootstrapped/family (unconfirmed),Independent (owns mfg),unknown,unknown,theadvitya.com + IndiaMART,Medium,Med,https://www.theadvitya.com | https://indiamart.com/theadvitya/profile.html,unconfirmed (Noida),40-yr family brass base; confirm funding
Varyra,Decor & Home Improvement,Antique brass showpieces/oil lamps,Ajay Juneja (Aligarh),Reads bootstrapped/family (unconfirmed),Independent (in-house mfg),unknown,unknown,varyra.com + Amazon,Medium,Med,https://varyra.com,unconfirmed (Aligarh),Distinctive antique-brass niche; small
Sonam Clock,Decor & Home Improvement,Wall/table clocks,Jayesh Shah (Morbi),Bootstrapped (Tracxn),Independent (#2 wall-clock maker),~65 (FY18-19),unknown,Primarily B2B (150+ distributors),Medium,Med,https://yourstory.com/smbstory/sonam-clocks-morbi-business-manufacturing,Sonam Limited (Morbi),"Manufacturer/supply asset, weak D2C"
Nyra Kitchenware,Kitchen,Premium brass/copper/cast-iron kitchenware,"Sushank Arora (Kanpur, IIT-K incubated)",Bootstrapped/unfunded (Tracxn/YourStory),Independent,unknown (1M+ orders claimed),unknown,nyrakitchenware.in + Amazon Top Brand + Flipkart/Myntra,Strong,Med-High,https://yourstory.com/2026/05/nyra-kitchenware-success-story-kanpur,unconfirmed (Kanpur),Cookware-leaning; verify entity
Casa Decor,Decor & Home Improvement,Home decor + knobs/organizers/kitchenware,Niraj Johri; Pankaj Johri (2008),Bootstrapped (~Rs60k start),Independent family-run,~100-106 (self-rep/Tracxn),unknown,casadecor.co.in + Amazon + Flipkart,Medium,Med-High,https://www.zaubacorp.com/SPARKLING-HUES-GEMS-PRIVATE-LIMITED-U27200DL2008PTC173201,Sparkling Hues Gems Pvt Ltd (CIN U27200DL2008PTC173201),"~17yrs, 90% exports; may be large/mini-group"
DOCOSS,Decor & Home Improvement,Self-adhesive/nail-free wall hooks,"Jain family (Sanyam J. Jain et al, 2022)","Bootstrapped (paid-up Rs1L, no funding)",Independent family,unknown,unknown,docoss.in + strong Amazon + Flipkart,Strong,High,https://www.zaubacorp.com/company/DOCOSS-INDIA-PRIVATE-LIMITED/U51909MH2022PTC387790,DOCOSS India Pvt Ltd (CIN U51909MH2022PTC387790),Command-style hooks; Pvt Ltd files MCA
Ruhe,Decor & Home Improvement,Kitchen & bath fittings/accessories,"Kapil Gupta (ex-SAP, 2020)",Bootstrapped (~Rs35L start),Independent founder-led,~40 (self-rep FY22),unknown,ruheindia.com (40%+ rev) + Amazon/Flipkart/Moglix,Strong,Med,https://yourstory.com/smbstory/ruhe-d2c-brand-kitchen-bathroom-fittings-oems-udaan-shiprocket,Ruhe Solutions Pvt Ltd,Resolve founder overlap w/ Lipka
Dazzle,Decor & Home Improvement,SS/brass bathroom accessories,"Amrish Patel (Rajkot, 2007)",Bootstrapped (traditional mfr),Independent SME,unknown,unknown,dazzlebath.com + Amazon + Flipkart,Medium,Med,https://dazzlebath.com/about/,Perdiem Industries (partnership),Best pure SS bath-accessory specialist
IPSA,Decor & Home Improvement,Cabinet/architectural hardware (hinges/slides),Aggarwal family (Anil Kumar Aggarwal),Bootstrapped/family,Independent,"~50-100 band (FY25, -15% YoY)",unknown,Own site + IndiaMART; B2B-led,Medium,Med-High,https://www.ipsaindia.com/our-story/,Ipsa Business India Pvt Ltd,Largest BIS-approved domestic hinges/slides; B2B
HobKnobs,Decor & Home Improvement,Luxury brass cabinet/door knobs/hooks,Not confirmed (Global Hardware),No external funding (bootstrapped),Independent (own mfg),unknown,unknown,hobknobs.in + Amazon + Flipkart,Medium,Med,https://www.hobknobs.in/about-us,Global Hardware,Premium niche; founder unconfirmed
Lipka,Decor & Home Improvement,Bathroom & kitchen fittings + accessories,Kapil Gupta (2009),Bootstrapped (from small SSI),Independent founder-led,unknown,unknown,lipkahome.com + ~5000 dealers,Medium,Med,https://yourstory.com/companies/lipka,Lipka Group,Dealer-channel dominant; confirm structure
Doyours,Decor & Home Improvement,SS-304 bathroom accessories/hardware,"Darshan Rajpara (Rajkot, 2004)",Bootstrapped (traditional mfr),Independent,unknown,unknown,doyoursint.com + Moglix + B2B,Medium,Med,https://www.doyoursint.com/,Doyours Interior,Moderate D2C maturity
E-Cosmos,Kitchen,Kitchen tools + storage organizers,"Mayur Sachapara (Mumbai, ~2012)",Bootstrapped (no funding found),Independent,unknown,unknown,ecosmos.co.in + Amazon brand store,Medium,Med,https://ecosmos.co.in/pages/our-story,E-Cosmos LLP,LLP/prop unclear; verify financials
Magicook,Kitchen,Kitchenware/cutlery/kitchen tools,Himanshu & Surbhi Agrawal (Vadodara),Bootstrapped (no funding records),Independent,~23.8 (FY25),unknown,D2C + marketplaces,Medium,Med,https://tracxn.com/d/companies/magicook,Magicook Kitchenware Pvt Ltd,Cutlery/tools more than storage
Shades of India,Soft Furnishings,Bed/table linen/curtains/cushions (+apparel),David Housego; Mandeep Nagi (1992),Bootstrapped (Tracxn),Independent,~90.3 (FY24),EBITDA -62% FY23 (PAT unconfirmed),Own stores + global wholesale/export,Strong,High (struct); Med (profit),https://tracxn.com/d/companies/shadesofindia,Shades of India Crafts Pvt Ltd (CIN U74899DL1992PTC050837),Senior founders - succession risk
House of Ekam,Soft Furnishings,Multi-cat: bedsheets/kantha/cushions/curtains/rugs,Tanvi Agarwal; Brij Garg (2017),Bootstrapped/unfunded (Tracxn),Independent,unknown,unknown,houseofekam.com + Etsy,Strong,Med,https://houseofekam.com/pages/about-us | https://tracxn.com/d/companies/houseofekam,verify entity (Mumbai),Exact multi-cat craft fit; verify financials
DMAASA,Soft Furnishings,Kantha quilts/bedding/cushions/curtains/table linen,Founder/Creative Director (name undisclosed),Bootstrapped (self-started),Independent artisan brand,unknown,unknown,2 own sites + Etsy; export/NRI,Strong,Med-Low,https://dmaasa.com/pages/about-us | https://in.linkedin.com/company/dmaasa,unconfirmed (Jaipur),Best kantha fit; founder/financials opaque
Sootisyahi,Soft Furnishings,Sanganeri block-print bedsheets/curtains/dohars,Founder names not surfaced,Bootstrapped (Tracxn: no funding),Independent Pvt Ltd,unknown,unknown,sootisyahi.com + Instagram,Strong,Med,https://tracxn.com/d/companies/sootisyahi,Susha Be Desi Design & Creations Pvt Ltd,Authentic block-print; confirm founders
FabAmber,Soft Furnishings,Block-print bedsheets/quilts/cushions,"Priya Singh (ex-Qatar Airways, 2022)",Bootstrapped (no funding),Independent,unknown,unknown,fabamber.com + Instagram,Medium,Med,https://www.fabamber.com/pages/know-us,Fabamber Pvt Ltd,Early-stage (2022); unproven scale
Bagh India,Soft Furnishings,Block-print quilts/dohars (+apparel-led),Family-run (1994),Bootstrapped/unfunded (Tracxn),Independent (Vadodara),~53.4 (FY25),unknown,baghindia.com + retail,Medium,Med,https://tracxn.com/d/companies/baghindia,Bagh India (Vadodara),Home is side line under apparel
Pine Cone,Soft Furnishings,Cushions/table linen/mats + craft decor,Nitika Gupta (NIFT/IIM-C),Bootstrapped/self-funded,Independent,unknown,unknown,pineconeindia.in + Instagram 71k + stockists,Medium,Med,https://yourstory.com/2022/01/startup-bharat-d2c-bohemian-home-decor,unconfirmed,Partial soft-furnishing (craft mix); boutique
Jaipuri Print,Soft Furnishings,Jaipuri razai/dohars/bedsheets/quilts,Deepak Beniwal,Bootstrapped likely,Independent,unknown,unknown,jaipuriprint.com (Shopify) + Instagram,Medium,Low-Med,https://www.jaipuriprint.com/about,unconfirmed (Jaipur),Financials/scale unverified
Indian Fabrico,Soft Furnishings,Sanganeri bedsheets/dohars/razai/home linen,Not surfaced,Presumed bootstrapped,Appears independent,unknown,unknown,Own site + Amazon listings,Medium,Low-Med,https://www.indianfabrico.com/,unconfirmed (Jaipur),Founder identity gap
SOSA Home & Body,Decor & Home Improvement,Premium home fragrance (diffusers/candles),"Sonal Sahani (ISIPCA-trained perfumer, 2021)",Bootstrapped (self-funded),Independent,unknown,unknown,D2C Shopify + Amazon,Strong,Med,https://sosahomeandbody.com/blogs/founder-diaries/best-reed-diffuser-brand-in-india-2026-honest-ranking-by-a-perfumer,unconfirmed (Mumbai/Pune),Perfumer-led; young/unverified scale
House of Aroma,Decor & Home Improvement,Scented candles/wax melts/diffuser oils,Rashi Thakker (2017),Bootstrapped/unfunded (Tracxn),Independent,unknown,unknown,houseofaroma.in + Amazon store,Strong,Med,https://tracxn.com/d/companies/house-of-aroma,unconfirmed (Mumbai),8yr track; some wellness overlap
Boond Fragrances,Decor & Home Improvement,Attars/perfumes; expanding to candles/diffusers,Krati Tandon (ISB); Varun Tandon (2021),Bootstrapped (YourStory),Independent,unknown,unknown,D2C + Pernia's + Baro Market,Medium,Med,https://yourstory.com/smbstory/boond-reviving-essence-of-kannauj-attar,unconfirmed (Kannauj),Core is attar; home fragrance nascent
Suvasa,Soft Furnishings,Multi-cat block-print: bedcovers/quilts/dohars/cushions/table linen/towels,Oona Singh; Rajat Singh (2000),Bootstrapped (Tracxn),Independent family house,~92.4 (FY25),unknown (improving),suvasa.in + ~12 stores,Strong,High,https://tracxn.com/d/companies/suvasa,Suvasa Apparel and Furnishing Pvt Ltd (CIN U18101RJ2018PTC062917),Top pick: multi-cat block-print at scale
Kilol,Soft Furnishings,Block/screen-print bedcovers/cushions/quilts/dohars/towels (+apparel),Mamta Mansingka (1986),Bootstrapped (Tracxn),Independent,~41.3 (FY24),unknown,kilol.com + ~10 stores,Strong,High (fund); Med (profit),https://kilol.com/pages/about-us | https://tracxn.com/d/companies/kilol,Kilol Fabrics Pvt Ltd,Mid-scale; slightly apparel-weighted
Soma,Soft Furnishings,Multi-cat block-print: quilts/bedsheets/cushions/decor,Radha Nair; Andrée Pouliot (1984),Bootstrapped (family-built),Independent,unknown,unknown,somashop.com + stores in 6 cities,Strong,Med-High,https://somashop.com,Soma Blockprints Pvt Ltd (CIN U18101RJ1990PTC005411),Strong brand; pull MCA financials
Safomasi,Soft Furnishings,Multi-cat: cushions/quilts/rugs/fabrics/table linen,Sarah Fotheringham; Maninder Singh (2012),Likely bootstrapped (no rounds found),Independent,unknown,unknown,safomasi.com + intl retailers; premium,Medium-Strong,Med,https://www.zaubacorp.com/company/SAFOMASI-ENTERPRISES-PRIVATE-LIMITED/U74140DL2012PTC239763,Safomasi Enterprises Pvt Ltd (CIN U74140DL2012PTC239763),Design-led; UK/India split ops
Bedlam,Soft Furnishings,Premium bed linen (linen/high-TC cotton),Tanya Palta (2019),Bootstrapped/unfunded (Tracxn),Independent,unknown,unknown,Own site + AJIO Luxe + Tata CLiQ Luxury; avoids Amazon,Medium,Med,https://tracxn.com/d/companies/bedlam | https://www.bedlam.store/pages/our-story-1,unconfirmed (Delhi),Narrow category (luxury bedding)
Kar Conscious Living,Soft Furnishings,Cushions/throws/bedding/table napkins (block-print),Jessica Marwah; Meenu Marwah; Akash Gulati (2021),Bootstrapped/unfunded (Tracxn),Independent LLP,unknown,unknown,karconsciousliving.com + Le Mill/Baro,Medium,Med,https://tracxn.com/d/companies/kar-conscious-living,Kar Conscious Living LLP (AAY-1302),"Young, sub-scale"
Srijee Decors,Soft Furnishings,Bedding sets/fitted sheets/curtains/cushions,Urvashi Maheshwari (2021),Bootstrapped/unfunded (Tracxn),Independent,unknown,unknown,Shopify + Myntra + Amazon; Insta ~93k,Medium,Med,https://tracxn.com/d/companies/srijee-decors,unconfirmed (Kolkata),Young; entity/financials opaque
Sadyaska,Soft Furnishings,Luxury bedding/bedspreads/cushions/table linen,Navya Khanna; Nitya Khanna (sisters),Likely bootstrapped (no rounds found),Independent,unknown,unknown,D2C + strong Instagram; ELLE Decor,Strong,Med,https://elledecor.in/sleep-in-aesthetics-with-sadyaska/ | https://crunchbase.com/organization/sadyaska,Sterling Creations Pvt Ltd,Premium block-print aesthetic; confirm funding
Rugberry,Soft Furnishings,Premium handmade rugs/carpets,Abdul & Abdullah Ansari (carpet family),Bootstrapped (Inc42),Independent (Bhadohi/Noida mfg),unknown,unknown,Own site + Noida showroom,Medium,Med,https://inc42.com/company/rugberry | https://rugberry.in,Rugberry,Rug-only; verify financials
Cocoon Fine Rugs,Soft Furnishings,Premium designer rugs/carpets,Ayush Choudhary (rebranded family export),Bootstrapped per Tracxn (one ambiguous flag),Independent family business,unknown,unknown,Galleries in 6 cities + e-comm,Medium,Med,https://tracxn.com/d/companies/cocoon-fine-rugs,Cocoon (Choudhary Exports family),Rug-only; built on family export base
The Calico Guild,Soft Furnishings,Designer cushions/throws/placemats,Ashni Tapuriah Shah; Sanna Daya Hasan (2020),Unverified (likely bootstrapped),Independent,unknown,unknown,D2C + design press,Medium,Low-Med,https://thecalicoguild.com,unconfirmed (Mumbai),Cushion/throw-only; financials unverified
